num,Hc1zero,Hc2zero,Tc,b300,cohere,curiet,dHc2dt,debyet,dens,dtcdp,element,g300,gamma,gap,gapene,gapmeth,isoel,isotope,lata,latb,latc,moment,nHc1zero,nHc2zero,ncohere,ndHc2dto,neelt,npenet,pHc1zero,pHc2zero,pcohere,pdHc2dto,penet,ppenet,rh300,rh300n,rh300p,spheat,spjump,str3,thc300,tp300,tp300p,uHc1,uHc2,ub,ucohere,udHc2dt,udtcdp,ug,ugamma,ugap,uhall,ujump,umoment,upenet,uthc,utp,uye,ye300
113,,,16.0,,,,,,,,Sr0.2La1.8Cu0.95Co0.05O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
114,,,21.0,,,,,,,,Sr0.2La1.8Cu0.95Ni0.05O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
115,,,29.0,,,,,,,,Sr0.2La1.8Cu0.99Zn0.01O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
116,,,36.0,,,,,,,,Pr0.1La1.7Sr0.2Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
117,,,35.0,,,,,,,,Nd0.1La1.7Sr0.2Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
118,,,32.0,,,,,,,,Sm0.1La1.7Sr0.2Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
119,,,30.0,,,,,,,,Gd0.1La1.7Sr0.2Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
120,,,51.0,,,,,,,,Y1Ba2Cu2.85Fe0.15O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
121,,,33.0,,,,,,,,Y1Ba2Cu2.7Fe0.3O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
122,,,82.0,,,,,,,,Y1Ba2Cu2.97Fe0.03O7,,,,,,,,3.822,3.891,11.67,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
123,,,60.0,,,,,,,,Y1Ba2Cu2.94Fe0.06O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
124,,,54.0,,,,,,,,Y1Ba2Cu2.88Fe0.12O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
125,,,90.0,,,,,,,,Y1Ba2Cu3O7,,,,,,,,3.822,3.891,11.67,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
126,,,90.0,,,,,,,,Y1Ba2Cu3S1O6,,,,,,,,3.855,3.9189999999999996,11.75,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
127,,,72.0,,,,,,,,Y1Ba2Cu3Cl1O6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
128,,,92.0,,,,,,,,Y1Ba2Cu3O7+Y,,,,,,,,3.821,3.885,11.675999999999998,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
129,,,93.0,,,,,,,,Y1Ba2Cu3O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
130,,,92.0,,,,,,,,Y1Ba2Cu3O7-Y,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,3.24,,,,,,,,,,,,,,,,,,
131,,,94.5,,,,,,,,Gd1Ba2Cu3O7-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
133,,,36.0,,,,,,,,La1.85Sr0.15Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
134,,,91.85,,,,,,,,Y1Ba2Cu3O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
135,,,91.95,,,,,,,,Y1Ba2Cu3O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
136,,,89.7,,,,,,,,Y1Ba2Cu3O7,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
137,,,89.9,,,,,,,,Y1Ba2Cu3O7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
138,,,85.0,,,,,,,,Ho1Ba2Cu3O8-X,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
139,,,90.5,,,,,,,,Y0.1Gd0.9Ba2Cu3O8-X,,,,,,,,,,,5.26,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
140,,,275.0,,,,,,,,Er1Ba2Cu3O7-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
141,,,130.0,,,,,,,,Y1Ba2Cu3O7-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
142,,,88.8,,,,,,,,Y1Ba2Cu3O7-X,,,,,,,,3.83,3.89,11.71,,,,,0.71,,,,,,2.3,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
144,,,90.0,,,,,,,,Y1Ba2Cu3O7-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
145,,,85.5,,,,,,,,Y1Ba2Cu3O7-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
146,,,77.3,,,,,,,,Y3Ba5Cu4Nb1O18-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,90.0,,,,,,,,Y1Ba2Cu3O7-X,,,,,,,,,,,,,,,,,,,,,,,,-0.75,,,,,Y123,,,,,,,,,,,,,,,,,,,,
148,,,69.0,,,,,,,,Sm0.45Ba0.55Cu1O3-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,84.3,,,,,,,,Sm0.4Ba0.6Cu1O3-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,86.4,,,,,,,,Sm0.33Ba0.67Cu1O7-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,88.8,,,,,,,,Sm0.3Ba0.7Cu1O3-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,73.6,,,,,,,,Sm0.25Ba0.75Cu1O3-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,62.5,,,,,,,,Sm0.2Ba0.8Cu1O3-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,93.1,,,,,,,,Sm0.35Ba0.65Cu1O3-Y,,,,,,,,3.9760000000000004,3.998,11.995999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,90.0,,,,,,,,Y1Ba2Cu3O7,,,,,,,,3.8169999999999997,3.883,11.633,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
156,,,92.0,,,,,,,,Y1Ba2Cu3O9-X,,,,,,,,3.818,3.889,11.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,22.0,,,,,,,,Bi2Sr2Cu2O7+Z,,,,,,,,5.32,26.6,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,6.5,,,,,,,,Bi1Sr1Cu1OY,,,,,,,,5.38,5.38,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,85.5,,,,,,,,Er1Ba2Cu3OX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
162,,,91.0,,,,,,,,Ho1Ba2Cu3OX,,,,,,,,,,,,,,,3.0,,,,,,0.9,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
163,,,93.0,,,,,,,,Gd1Ba2Cu3OX,,,,,,,,,,,,,,,3.0,,,,,,0.9,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
164,,,95.0,,,32.0,,,,,Y1Ba2Cu3O6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
165,,,,,,35.0,,,,,Y1Ba2Cu3O6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
166,,,,,,38.0,,,,,Y1Ba2Cu3O6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
167,,,,,,30.0,,,,,Y1Ba2Cu3O6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,La1.5Ba1.5Cu3OY,,,,,,,,3.9130000000000003,11.71,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,Pr1.5Ba1.5Cu3OY,,,,,,,,3.898,11.66,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,Nd1.5Ba1.5Cu3OY,,,,,,,,3.887,11.62,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,Sm1.5Ba1.5Cu3OY,,,,,,,,3.865,11.56,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
172,,,89.5,,,,,,,,Eu1.5Ba1.5Cu3Oz,,,,,,,,3.865,,11.56,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
173,,,92.5,,,,,,,,Gd1.5Ba1.5Cu3Oz,,,,,,,,3.863,,11.58,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
174,,,90.0,,,,,,,,Y1.5Ba1.5Cu3Oz,,,,,,,,3.821,3.8539999999999996,11.67,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
